min_speed,max_speed,delay,spacing,min_angle,max_angle,num_rows,min_b_scale,max_b_scale,clear_threshold,hard_clear_threshold,burst_spacing,burst_spacing_dur,burst_spacing_ratio,bskip_hang
4.7,4.7,39.148936170212764,272.333333333333,-3.14,3.14,6,0.5,0.5,2000,4000,189,4,3,0
5.525,5.525,33.303167420814475,272.333333333333,-3.14,3.14,6,0.5,0.5,2000,4000,189,4,3,0
6.35,6.35,28.976377952755907,272.333333333333,-3.14,3.14,6,0.5,0.5,2000,4000,189,4,3,0
7.175,7.175,25.644599303135887,272.333333333333,-3.14,3.14,6,0.5,0.5,2000,4000,189,4,3,0
8.0,8.0,23.0,272.333333333333,-3.14,3.14,6,0.5,0.5,2000,4000,189,4,3,0
8.46,8.46,21.749408983451534,272.333333333333,-3.14,3.14,6,0.5,0.5,2000,4000,189,4,3,0
8.92,8.92,20.62780269058296,272.333333333333,-3.14,3.14,6,0.5,0.5,2000,4000,189,4,3,0
9.38,9.38,19.616204690831555,272.333333333333,-3.14,3.14,6,0.5,0.5,2000,4000,189,4,3,0
9.84,9.84,18.69918699186992,272.333333333333,-3.14,3.14,6,0.5,0.5,2000,4000,189,4,3,0
10.3,10.3,17.864077669902912,272.333333333333,-3.14,3.14,6,0.5,0.5,2000,4000,189,4,3,0
