min_speed,max_speed,delay,spacing,min_angle,max_angle,num_rows,min_b_scale,max_b_scale,clear_threshold,hard_clear_threshold,burst_spacing,burst_spacing_dur,burst_spacing_ratio,bskip_hang
3,3,44.800000000000004,123.4,-0.78,3.92,6,0.3,0.3,2000,4000,0,0,0,1
3,3,41.800000000000004,114.65,-0.78,3.92,6,0.3,0.3,2000,4000,0,0,0,1
3,3,38.800000000000004,105.9,-0.78,3.92,6,0.3,0.3,2000,4000,0,0,0,1
3,3,35.800000000000004,97.15,-0.78,3.92,6,0.3,0.3,2000,4000,0,0,0,1
3,3,32.800000000000004,88.4,-0.78,3.92,6,0.3,0.3,2000,4000,0,0,0,1
3,3,31.73333333333333,85.4,-0.78,3.92,6,0.3,0.3,2000,4000,0,0,0,1
3,3,30.666666666666668,82.4,-0.78,3.92,6,0.3,0.3,2000,4000,0,0,0,1
3,3,29.599999999999998,79.4,-0.78,3.92,6,0.3,0.3,2000,4000,0,0,0,1
3,3,28.53333333333333,76.4,-0.78,3.92,6,0.3,0.3,2000,4000,0,0,0,1
3,3,27.46666666666667,73.4,-0.78,3.92,6,0.3,0.3,2000,4000,0,0,0,1
