min_speed,max_speed,delay,spacing,min_angle,max_angle,num_rows,min_b_scale,max_b_scale,clear_threshold,hard_clear_threshold,burst_spacing,burst_spacing_dur,burst_spacing_ratio,bskip_hang
4,8,22.400000000000002,134.4,-0.2,0.2,3,0.3,0.3,2000,4000,0,0,0,1
4,8,20.900000000000002,125.4,-0.2,0.2,3,0.3,0.3,2000,4000,0,0,0,1
4,8,19.400000000000002,116.4,-0.2,0.2,3,0.3,0.3,2000,4000,0,0,0,1
4,8,17.900000000000002,107.4,-0.2,0.2,3,0.3,0.3,2000,4000,0,0,0,1
4,8,16.400000000000002,98.4,-0.2,0.2,3,0.3,0.3,2000,4000,0,0,0,1
4,8,15.866666666666665,95.19999999999999,-0.2,0.2,3,0.3,0.3,2000,4000,0,0,0,1
4,8,15.333333333333334,92.0,-0.2,0.2,3,0.3,0.3,2000,4000,0,0,0,1
4,8,14.799999999999999,88.8,-0.2,0.2,3,0.3,0.3,2000,4000,0,0,0,1
4,8,14.266666666666666,85.6,-0.2,0.2,3,0.3,0.3,2000,4000,0,0,0,1
4,8,13.733333333333334,82.4,-0.2,0.2,3,0.3,0.3,2000,4000,0,0,0,1
