min_speed,max_speed,delay,spacing,min_angle,max_angle,num_rows,min_b_scale,max_b_scale,clear_threshold,hard_clear_threshold,burst_spacing,burst_spacing_dur,burst_spacing_ratio,bskip_hang
6.5,6.5,29.96923076923077,148.8,-1.18,-0.38,3,0.2,0.5,2000,4000,76,4,3,0
7.375,7.375,26.4135593220339,148.8,-1.18,-0.38,3,0.2,0.5,2000,4000,76,4,3,0
8.25,8.25,23.612121212121213,148.8,-1.18,-0.38,3,0.2,0.5,2000,4000,76,4,3,0
9.125,9.125,21.347945205479455,148.8,-1.18,-0.38,3,0.2,0.5,2000,4000,76,4,3,0
10.0,10.0,19.48,148.8,-1.18,-0.38,3,0.2,0.5,2000,4000,76,4,3,0
10.5,10.5,18.552380952380954,148.8,-1.18,-0.38,3,0.2,0.5,2000,4000,76,4,3,0
11.0,11.0,17.70909090909091,148.8,-1.18,-0.38,3,0.2,0.5,2000,4000,76,4,3,0
11.5,11.5,16.93913043478261,148.8,-1.18,-0.38,3,0.2,0.5,2000,4000,76,4,3,0
12.0,12.0,16.233333333333334,148.8,-1.18,-0.38,3,0.2,0.5,2000,4000,76,4,3,0
12.5,12.5,15.584000000000001,148.8,-1.18,-0.38,3,0.2,0.5,2000,4000,76,4,3,0
