min_speed,max_speed,delay,spacing,min_angle,max_angle,num_rows,min_b_scale,max_b_scale,clear_threshold,hard_clear_threshold,burst_spacing,burst_spacing_dur,burst_spacing_ratio,bskip_hang
4,8,24.53333333333333,147.2,0.78,0.78,1,0.4,0.4,2000,4000,0,0,0,0
4,8,23.03333333333333,138.2,0.78,0.78,1,0.4,0.4,2000,4000,0,0,0,0
4,8,21.53333333333333,129.2,0.78,0.78,1,0.4,0.4,2000,4000,0,0,0,0
4,8,20.033333333333335,120.2,0.78,0.78,1,0.4,0.4,2000,4000,0,0,0,0
4,8,18.533333333333335,111.2,0.78,0.78,1,0.4,0.4,2000,4000,0,0,0,0
4,8,18.0,108.0,0.78,0.78,1,0.4,0.4,2000,4000,0,0,0,0
4,8,17.46666666666667,104.80000000000001,0.78,0.78,1,0.4,0.4,2000,4000,0,0,0,0
4,8,16.933333333333334,101.6,0.78,0.78,1,0.4,0.4,2000,4000,0,0,0,0
4,8,16.400000000000002,98.4,0.78,0.78,1,0.4,0.4,2000,4000,0,0,0,0
4,8,15.866666666666667,95.2,0.78,0.78,1,0.4,0.4,2000,4000,0,0,0,0
