min_speed,max_speed,delay,spacing,min_angle,max_angle,num_rows,min_b_scale,max_b_scale,clear_threshold,hard_clear_threshold,burst_spacing,burst_spacing_dur,burst_spacing_ratio,bskip_hang
5.6,11.0,49.15662650602409,174.428571428571,-0.78,-0.78,1,1,1,2000,4000,141.928571428571,3,3,0
6.449999999999999,12.0,44.22764227642276,174.428571428571,-0.78,-0.78,1,1,1,2000,4000,141.928571428571,3,3,0
7.3,13.0,40.19704433497537,174.428571428571,-0.78,-0.78,1,1,1,2000,4000,141.928571428571,3,3,0
8.15,14.0,36.839729119638825,174.428571428571,-0.78,-0.78,1,1,1,2000,4000,141.928571428571,3,3,0
9.0,15.0,34.0,174.428571428571,-0.78,-0.78,1,1,1,2000,4000,141.928571428571,3,3,0
9.48,15.6,32.535885167464116,174.428571428571,-0.78,-0.78,1,1,1,2000,4000,141.928571428571,3,3,0
9.96,16.2,31.192660550458715,174.428571428571,-0.78,-0.78,1,1,1,2000,4000,141.928571428571,3,3,0
10.440000000000001,16.8,29.955947136563875,174.428571428571,-0.78,-0.78,1,1,1,2000,4000,141.928571428571,3,3,0
10.92,17.4,28.8135593220339,174.428571428571,-0.78,-0.78,1,1,1,2000,4000,141.928571428571,3,3,0
11.4,18.0,27.75510204081633,174.428571428571,-0.78,-0.78,1,1,1,2000,4000,141.928571428571,3,3,0
