min_speed,max_speed,delay,spacing,min_angle,max_angle,num_rows,min_b_scale,max_b_scale,clear_threshold,hard_clear_threshold,burst_spacing,burst_spacing_dur,burst_spacing_ratio,bskip_hang
5,5,33.8,169.0,0,0,1,1,1,2000,4000,0,0,0,0
5,5,32.25,161.25,0,0,1,1,1,2000,4000,0,0,0,0
5,5,30.7,153.5,0,0,1,1,1,2000,4000,0,0,0,0
5,5,29.15,145.75,0,0,1,1,1,2000,4000,0,0,0,0
5,5,27.6,138.0,0,0,1,1,1,2000,4000,0,0,0,0
5,5,27.24,136.2,0,0,1,1,1,2000,4000,0,0,0,0
5,5,26.880000000000003,134.4,0,0,1,1,1,2000,4000,0,0,0,0
5,5,26.52,132.6,0,0,1,1,1,2000,4000,0,0,0,0
5,5,26.160000000000004,130.8,0,0,1,1,1,2000,4000,0,0,0,0
5,5,25.8,129.0,0,0,1,1,1,2000,4000,0,0,0,0
